tppx,wppx,tpp,wpp,baseline
7.375392913818359,0.7619907259941101,3.3404741287231445,0.0,0.0
5.363396167755127,1.2787201404571533,2.803595542907715,0.383319228887558,0.5241737961769104
4.383203506469727,1.3908841609954834,2.6766698360443115,0.5247482061386108,0.6186512112617493
3.7176780700683594,1.345204472541809,2.4377779960632324,0.5369863510131836,0.6074135899543762
3.2413156032562256,1.3766199350357056,2.217395544052124,0.518646776676178,0.574988603591919
2.9206173419952393,1.3898347616195679,2.029818296432495,0.4928685426712036,0.5398200750350952
2.6792867183685303,1.3671873807907104,1.8750488758087158,0.5019773840904236,0.546875
2.477728843688965,1.3601431846618652,1.7740206718444824,0.5206925272941589,0.5626410245895386
2.312997817993164,1.339732050895691,1.7140413522720337,0.5905502438545227,0.6299768090248108
2.191801071166992,1.3259375095367432,1.6689366102218628,0.6577945947647095,0.6932784914970398
